id,unified_name,preliminary_type,Year,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections ,TCEQ PWS Code,Wholesale System?,Water Use Survey Form Type,PWS System Class,id2023,form2023
1104223,Tarrant Regional Water District,water system,,,,,,,,,,,,,,,,,,,,,,,,1104223,Municipal
298900,City Of Fort Worth,water system,2022.0,N," 955,900 "," 24,184,320,777 "," 264,888 "," 2,236,843,076 "," 3,294 "," 16,245,624,276 "," 23,575 "," 3,427,223,134 ", 603 ,,,,," 46,094,011,263 "," 292,360 "," 727,980,000 "," 25,320 ",TX2200012,N,Municipal Long,Municipal,298900,Municipal
144038,Central Texas Wsc,water system,,,,,,,,,,,,,,,,,,,,TX0140161,Y,Municipal Short,Water Supply Corporation,144038,Municipal
846000,City Of Temple,water system,2022.0,N," 89,112 "," 3,068,630,481 "," 30,496 "," 437,198,256 "," 8,974 "," 780,530,070 "," 2,321 "," 627,476,717 ", 52 ," 656,647,966 ", 826 ," 2,056,200 ", 5 ," 7,168,233,690 "," 42,677 "," 13,295,076 "," 5,000 ",TX0140005,N,Municipal Long,Municipal,846000,Municipal
Seymour Aquifer,Seymour Aquifer,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
607468,North Central Texas Municipal Water Auth,water system,2022.0,N, 132 ," 3,374,345 ", 39 ,,," 1,816,955 ", 58 ,,,,,,," 5,191,300 ", 97 ,,,TX1380009,N,Municipal Long,Authority,607468,Municipal
Brazos-Colorado Basin (Source Unknown),Brazos-Colorado Basin (Source Unknown),water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
25,Athens Municipal Water Authority,water system,,,,,,,,,,,,,,,,,,,,TX1070252,Y,Municipal Short,Authority,25,Municipal
Town Lake/Reservoir,Town Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
480,Lcra Lake Travis,water system,,,,,,,,,,,,,,,,,,,,,,,,,
41010,City Of Austin Water & Wastewater,water system,2022.0,N," 1,080,270 "," 16,574,970,200 "," 224,266 "," 11,745,294,000 "," 6,755 "," 11,262,707,700 "," 18,009 "," 3,601,480,900 ", 10 ," 1,106,477,700 "," 1,295 ",,," 46,050,818,040 "," 250,518 "," 130,718,284 ",,TX2270001,N,Municipal Long,Municipal,41010,Municipal
San Antonio-Nueces Basin (Source Unknown),San Antonio-Nueces Basin (Source Unknown),water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
723400,City Of Rhome,water system,2022.0,N," 1,774 "," 32,727,039 ", 535 ," 852,059 ", 1 ," 12,707,949 ", 54 ,,," 4,650,000 ", 12 ,,," 50,937,047 ", 602 ," 1,545,150 ", 6 ,TX2490007,N,Municipal Long,Municipal,723400,Municipal
60,Northeast Texas Mwd,water system,,,,,,,,,,,,,,,,,,,,TX1580065,Y,Municipal Short,District ,60,Municipal
Eagle Mountain Lake/Reservoir,Eagle Mountain Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
